box_score_id,set,is_europe,24Clock,gameClock,homeScore,quarter,visitorScore
0000169C-11A9-4101-AFC2-94701C7476BD,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
0000606A-6A53-4E4B-BE8C-F5985A4DE1B3,validation,True,"[[762, 9], [798, 47]]","[[690, 7], [759, 45]]","[[342, 10], [396, 44]]","[[645, 9], [686, 46]]","[[406, 9], [462, 43]]"
000068EF-E3AC-450E-8672-C19352A0F938,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0000CCA3-ADD7-43E5-B07B-3C842E6C2FDB,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
000138E3-5EE0-4FF5-9B47-2E771717F614,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000163EC-AAAB-469A-8F54-643210925ED1,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
00017012-A6DE-4A53-B6E7-DC2A4B316FBB,test,True,"[[742, 10], [785, 41]]","[[679, 10], [736, 46]]","[[324, 4], [382, 47]]","[[630, 11], [675, 46]]","[[397, 5], [454, 47]]"
0001F9A3-5706-43D5-8121-B40639116925,validation,True,"[[737, 8], [773, 42]]","[[664, 10], [729, 42]]","[[322, 3], [372, 46]]","[[617, 9], [662, 44]]","[[393, 5], [445, 45]]"
0001FCE4-96EC-4B46-A735-E7F444F5CDE1,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000283A0-FF94-4E8C-9105-AABD043A4529,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
0002D2F1-D955-4A56-93AF-979CA29F2F32,train,True,"[[587, 10], [630, 46]]","[[518, 8], [585, 46]]","[[320, 7], [387, 46]]","[[469, 8], [517, 43]]","[[252, 6], [307, 46]]"
0002FA03-5631-4A9B-BD96-0AC928391051,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
0003094D-D2C6-4BC6-95F9-657F547EC578,test,True,"[[115, 44], [156, 76]]","[[50, 45], [104, 74]]","[[362, 9], [403, 44]]","[[20, 46], [50, 74]]","[[362, 42], [403, 78]]"
00045F7B-DEA9-44A0-BFBE-027676287D60,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00049C11-BE5A-4069-A40A-9AD55318FD3E,train,True,"[[600, 6], [632, 44]]","[[517, 3], [600, 43]]","[[334, 5], [387, 43]]","[[476, 7], [518, 41]]","[[258, 5], [305, 45]]"
0005065D-2651-4E4D-97FF-2E6AB27026DF,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
000544D1-FADD-4B51-AB71-42F27A6F940B,train,True,"[[595, 1], [627, 39]]","[[517, 5], [592, 43]]","[[319, 4], [388, 43]]","[[468, 5], [512, 43]]","[[244, 4], [313, 44]]"
00055199-82F3-4657-B0DD-A35DA4737F5D,validation,True,"[[592, 7], [624, 44]]","[[518, 7], [588, 45]]","[[320, 6], [385, 49]]","[[465, 10], [514, 47]]","[[247, 6], [311, 50]]"
0005C40B-F382-4800-A624-04762B5C0C4D,test,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
00065655-D676-4EC3-80EA-855192CF2604,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
